realid,numberid,lab,treatment,response,ideology_ra,left,extreme
129,17,1,0,"Sure, income inequlaity exists. Not everyone can make the same amount of money as everyone else, and certainly not everyone should. Compare a CEO of a banking corporation to the janitor in the same company. The CEO does much more difficult work and they do not deserve to be paid the same. The governement should not interviene in economic policies; it has been proven that free markets work. If the aforementioned janior wanted to make more money, he can work his way up in the company, starting by applying to manage all the janitors and so on.",0,0,0
132,18,1,1,"Economic inequality is a huge issue in the United States. I think large companies and banks should have more regulations. Most important in improving economic inequality I think is devoting more resources towards healthcare, education, and cash transfer assistance programs. To improve inequality we should start at the bottom and lift up the lower class. There are too many people living in poverty in the US and they do not get the help that they need. If people in poverty were doing better I tihkn that the economy overall would improve as well as the quality of life in the US. I support these views because I believe in helping others and improving the lives of eveyone that we can. Aside from moral reasons, it makes sense economically as well.",1,1,1
135,19,1,0,I think economic inequality is a problem. The government should pursue policies such as raising the minimum wage to address this issue because it's extremely difficult to live and support others on a minimum wage position.,1,1,0
138,20,1,1,"Economic inequality is a huge problem in the United States and the governement should impliment laws and regulations in order to reduce the wage gap. Taxing the righ more as well as bigger companies is one option and the only option I really know of. I am not saying that everyone should make the same amount of money because people do work harder than others, but I do not believe any person, no matter how hard the work, should be worth billions of dollars. The rich should not be righer while the poor is being poorer.",1,1,1
139,21,1,0,"I think it's a massive problem. Apparently, six members of the Walton family own more than around 150 million Americans (about 50% of the US population). Jeff Bezos also got a subsidized helipad and paid zero dollars in federal income tax in 2017. Why should those that own everything be given free handouts on top of what they already have? I think our government should tax those that are at the very least in the top 1% a lot more. All of their wealth was made from our society, so it's time for them to give back to it. Some policies I saw proposed were rolling back the Bush era tax cuts, using the recent military budget increase to pay for free college tuition, and also rolling back the Trump tax cuts as well. These and many other policies would make it so poorer and middle class Americans can get a good education, not be burdened by crippling student loan debt for decades, and also not have to worry about how they will pay their medical bills or of going bankrupt because of them. I think in this sense, the country would go back to protecting the welfare of its citizens and become more of a democracy.",1,1,1
140,22,1,1,"Economic inequaltiy is definitly a problem in the United states. Everyone should have  an equal chance at living how they want to live. The bigger the gap, the harder it is for the poor to move up. The government should do more to help the poorer citizens and tax the richer higher. The rich are selfish if they do not want to help families in poverty have a comfortable life. Although not everyone is being taxed equally, it is fair and just in order to help other human beings.",1,1,1
142,23,1,1,"Yes, it is a problem in the US. The government should enact policies to help the extremely poor such as heavily investing in underfunded school systems and infrastructural programs in poor communities. Wealthy Americans benefit from generational wealth that is passed down, while overpoliced communities result in broken homes and high crime rates and societal factors not suitable for proper education and instilling of positive values in youth, creating a vicious cycle of poverty.",1,1,1
143,24,1,0,some of the policies that i would implament would be lowering the wages of ceo or other corporate owner. The would rather lay off people than to get a wage cut. this create a huge wage gap between the rich and the poor because the ceo are basically getting all the profit will their employee are doing all the work but recieving less. another implament would be to tax the people base on their wage. if you are more successful in life you should give a little more to help the goverment.,1,1,0
144,25,1,1,"I believe economic inequality is a big problem in this country considering the top 1% own such a large portion of the wealth in this country. While I wouldn't necessarily say the government should actively reduce this inequality since that would invovle wealth redistribution which goes against the capitalist principles of our society. I think they should take actions to increase socioeconomic mobility. It shouldn't be so hard for poor people to move up. If people work hard enough and smart enough, they should be able to move up in economic status which in most cases isn't true in today's world.",0,0,0
146,26,1,1,"No, I do not think there is an inequality problem. No, the US should not do anything about it. I think that most people earn money because they or their ancestors worked hard to get to where they are. People go to school to become more successful and they most likely will become more successful.",0,0,1
150,27,1,1,"Yes I believe that it is a problem. Yes, I believe that the United States should pursue policies regarding that. I would like to see policies that tax companies more since a lot of them don't pay as much taxes as they should. I believe in this because of the debt the US is in and how it is becoming much harder for the middle class to live on current incomes.",1,1,0
153,28,1,0,"I believe economic inequality is a huge problem in the US because the wage gap keeps increasing and giving the upper class an advantage that no one below them can catch up to and gain. I believe its very important for the government to pursue policies to reduce this becuase there simply isn't anyone else with the power to do so. Further investigation of businesses to ensure everything is actually legitimate and they aren't avoidign taxes, falsifying reports, etc. Also a tax increase for these people simply because they can afford it and the people who can't should have a tax decrease as well. Bigger companies and businesses should be investigated as much as smaller businesses and companies.",1,1,1
155,29,1,0,"Although I am aware of the size of the gap between the rich and the poor in terms of wealth, I do not think that economic inequality is a huge problem in the U.S. I believe there are more pressing issues that we can cover and that need to be covered over economic inequality. There are definitely still major stigmas facing minorities that exist in the U.S. that may hurt their chances of economic equality, however I think these stigmas are in decline and we will see less of a gap in the future with more generations of equal minded individuals. The government can pursue policies to reduce economic inequality and I'm sure they would help on the surface but the reasons for such inequality to exist are deeper and they only will fade completely with time. Government involvement has the ability to speed up this process, though.",1,0,0
156,30,1,1,"I believe that economic inequality is a major issue in the United States. It is a complex and difficult problem to deal with because the world is so complex. The government should be responsible for the protection and betterment of its citizens, meaning yes, they should pursue policies aimed at reducing the gap. The cost of living a healthy and happy life are going up. The rich dont feel the impact of raising prices but those living paycheck to paycheck can watch things move out of their budget over the years. Without increasing wages to combat rising prices inequality continues to get worse. Programs that would be beneficial are subsidized tuition for college or trade school and a tax on those in higher tax brackets without health care to fund government assistance to those who cannot afford health insurance. Government regualtion of the pharmasudical industry is also important.",1,1,0
157,31,1,0,"I think that economic inequality is present in the United States. There is for sure a gap between the rich and the poor, especially when it comes to necessities. I also think that the US government should do more to help those affected by economic inequality. If the government did not help then it would not be a equal country. I think the government should implement a tax to the more wealthy and a tax cut to the poor.",1,1,0
160,32,1,1,"I think that economic inequality is an issue within the United States.  I think that the government should work on policies that help stimulate the economy, fostering job growth and creation, and should work on lowering the national debt as a way to help grow the economic impact of the country.  I would like to see a progressive tax on income up to 42% of income that way all are able to give within the means they have.",1,1,0
161,33,1,0,"I do think economic inequality is a problem, but I am not sure if anyone has a good answer to it yet. I just do not think it is a good idea to punish people who work hard for money by increasing their taxes, just to reward people who do not make a lot. However, I do think that helping the poorest in the United States should be a priority. I do not care for everyone getting the same pay, but I do think that the people who have absolutely nothing should be looked out for. If you want to work a low paying job, don't complain about how little money you have.",0,0,0
162,34,1,1,No i do not think economic equality is a problem,0,0,1
164,35,1,1,"It's a problem in U.S. I don't think the government will reduce economic inequality, they may not care about this. Since people are working for money, rich people has stronger rights in the society. They can control the government. The main issue of povertry is education and medical insurance. If we can figure out these two problems, I think it will be hard to see poor people, but the actual is it's too difficult to achieve that.",1,1,0
167,36,1,0,"Yes, I do think that economic inequality is a problem in the US and agree that there should be policies put in place to reduce economic inequality. If the gap continues to grow, I feel like those on the higher end (rich) will continue to see more benefits than they do now, and those who are poor will suffer even more. If no policies are put in place to address this issue, it will only be harder for the poor to try and climb the economic ladder and get out of the situation they are in, and the rich will just keep getting richer.",1,1,1
170,37,1,1,"Yes, I believe that economic inequality is a problem in the US and the government should pursue policies to fix this problem. I support this because I advocate for the minority and I know what it is like to be under privileged. I think free health care should be implemented to help this because medical bills can be very costly and lower people's standard of living.",1,1,1
174,38,1,1,"Individuals should not let the Government control their careers, therefor each person or houshold should strive to be successful in order to acheive a dependable financial level.",0,0,1
178,39,1,1,"Economic inequality is a problem in the United States; there are many people that have far more than they need, and many that don't have enough. That said, I do not, at this time, feel that the government should implement any changes. Americans as a whole do not live in that great of poverty, compared to the rest of the world. Our poorest have it better than many in other countries. Furthermore - while I feel that it is immoral for the richest to retain wealth, rather than giving to others in need - I also feel that it is immoral for the government to redistribute this wealth. To do so would be theft, in my opinion; and in most cases, would not be necessary. Outside of the case of a relatively small portion of the population, which due to dissability, is unable to work, such programs are mostly just enabling laziness; jobs are not, in my opinion, that difficult to find. They might not be the most desirable jobs, but they are out there; many people just aren't willing to work them.",1,0,0
180,40,1,1,I do think that economic inequality is a problem in the United States; I believe that if you are born wealthy then you have a greater opportunity and it is easier to be successful. I do believe that the government should pursue policies to reduce economic inequality but not drastically. I would like to see higher taxes to those who are more wealthy and lower taxes for those who are poor. I would also like to see the government offer assistance to those who are poor find jobs and get out of debt/ poverty. I support this because I heard that 2% of the population has most of the money in our country.,1,1,0
182,41,1,1,"Economic inequality is definitely a problem. A handful of individuals owns the majority of the country's wealth. This gap should be reduced to provide more fairness, but not completely eliminated. That would be unfair to the rich.",1,1,0
184,42,1,1,"The United States has a mejor economic gap between the rich and the poor. Rich people get exeptions and they should pay taxes just as much as the next person. Compared to others, they have the means to pay large sums of money and not be affected greatly.",1,1,1
187,43,1,0,Yes I do think it is a problem. Yes I think the government should try to reduce the inequality. I think having higher taxes on the rich and more programs to help the poor would be good because the very wealthy have more money they are able to give while still living a comfortable lifestyle.,1,1,0
188,44,1,1,yes i think economic inequality is a problem in the US. for starters we could tax the wealth the same percentage of their worth that the poor is taxed. this will make the wealthy have to pay more and the poor could possible pay less.,1,1,0
189,45,1,0,"I think that there is a very fine line between the rich and the poor. I personally feel that taxes should be slightly altered based on income. This would mean that those with higher incomes should pay a bit more than those with lower incomes. I also think that things like traffic tickets should be proportional to someone's income. I support this because if someone with a much higher income has to actually pay a decent amount of money for a traffic ticket, they may actually refrain from making those same mistakes.",1,1,0
193,46,1,0,"No, ecomonic inequality is not a problem and it has to exist in order for countries to succeed. It's impossible to have a country where everyone is rich. Compared to other countries in the world, the poor in America are better off. If the rich are richer, the poor must be richer as well. If four people split a one-hundred dollars evenly, everyone gets twenty five dollars. If four people split one-thousand dollars and one gets nine-hundred dollars while the others get fifty dollars each, those two that get the fifty dollars are experiencing ecomonic inequality, but they're doing better than if they all split one-hundred dollars evenly. Since America is one of the wealthiest countries in the world, it is a nessecary evil for someone to country a majority of the wealth. Once the government steps in to start disrupting peoples success, it takes away motivation to succeed and progress the country.",0,0,1
196,47,1,1,I do think that economic inequality is an issue in this country as the rich continue to get richer and the poor get poorer. However we are a capitalistic society and i dont believe it is the government's job to bail everyone out or it isnt the job of people who work hard for their money to be forced to help someone else. I think the government should allow the market to dictate how is making money and not making money.,0,0,1
199,48,1,0,"I 100% think economic inequality is problem in the states. It's great that people work hard and make a lot of money but some also rig the system to benefit themselves and make more money than any single person should have. The amount of money billionaires and millionaires make could go back into the company workers who probably aren't making more than 8-15 dollars an hour. I'd like to see a higher minimum wage dependent on living costs of each state. I'd also like to see more oversight to control how much a higher up can make versus his/hers workers. I think the government should pursue policies to reduce the inequality because there is absolutely no reason why people should be living on the streets, starving, or resorting to illegal businesses just to make ends meet. Companies don't seem to have their workers best interest at heart in some cases so they priotize profit over their workers. Everyone has a right to be able to support themselves.",1,1,1
203,49,1,0,no i do not think it is a problem,0,0,0
207,50,1,0,"I believe that economic inequality is a problem in the United States and that the government of the United States should pursue policies to reduce this inequality. However, that is not to say that I believe the government isn't doing enough currently. Policies are already in place that help in reducing economic inequality, and in the end of the day I think reforming and making these current policies better would be the first step towards continuing these efforts in a progressive way.",0,1,0
209,51,1,0,"I believe that economics, like many other natural systems has fundament  core elements that dispite our efforts currently can not be over come. In economics and in any other systems there is what is known as the Pareto distribution which helps to explain wealth inequality. Wealth in equality is not the fundmental issue, its when individuals with immense wealth are able to acuire acets that allw them to trancend the rules and laws of the nation or use their wealth to manipulate and lie to others. Wealth inequality is not the problem, morality is, which is a consequence of being human",0,0,0
211,52,1,0,"I think that economic inequality is a problem in the United States. I would like to see policies making lower end jobs, higher paying so that these individuals can support themselves. I think it is also the responsibility as human beings to help those in need therefore I think that the rich should have some of their income donated to an organization dedicated ot helping the poor.",1,1,1
213,53,1,0,"Economic inequality exists because of the system of the American economy that has been in place since its foundation. While this is true, it is mostly because ""winners"" benefit the most because of what they have done while the common person can get by, they just will not be extremely rich. While it may be a problem to some, it exists because those at the top were either born into money or they worked enough to get to that point. The government should never interfere with the economy in my opinion but that is not possible therefore it should be extremely limited, meaning the United States government should not pursue policies to reduce the inequality. There is not much they can do to begin with, should they just take from the rich and give to the poor like Robinhood? No, this is unfair even if the rich can live the same life with only a quarter of their wealth.",0,0,1
215,54,1,0,"I don't think the economic inequality is a problem. The fact that people in the US can be wildly successful is part of what built our country and the american dream. Any policy trying to ""redistribute"" wealth (ie what Bernie Sanders calls ""democratic socialism"") is border line comunism and would destroy the economy of not only our country but also most of the developed world.",0,0,1
216,55,1,1,"I do think economic inequality is a problem in the United states because the distribution of wealth is incredibly skewed. There are several individuals who make billions of dollars and others who can barely afford food for their families, and my personal belief is that minority groups (racial, ethnic, gender, etc.) have more barriers to success than the majority which continues to expand the economic gap. I personally do believe the government should step in and employ a flat tax rate that would allow more assistance to individuals who may not have had access to the same opportunities as those who are in the upper class. It's my personal belief that if you have so much money that you don't know what to do with it anymore, that can be redistributed and given to less fortunate individuals so they can have access to new opportunities and hopefully bring a new perspective into the workforce or society.",1,1,1
218,56,1,1,"I do believe that economic inequality is a problem in the U.S. No, I do not think that the government should pursue inequalities, and I would not like to see additional policies implemented. I feel that you should work hard for your money and those that have done so will make lots of money. I understand that there are people that do not have that sort of opportunity, but my beliefs still stand, and if they want it they should work for it.",0,0,1
221,57,1,0,"I do not think economic inequality is a problem in the US. I feel that the govenrment should leave the economy alone in some situations. The government should leave hard working people's money alone. I support this because my dad works hard and every year and a huge chunk of his salary is taken to fund government programs for people that, not all of them but some, don't make the effort to get a job and live off the system.",0,0,1
225,58,1,0,"I think economic enequality is a problem in the US, as there are many households beneath the poverty line and many very wealthy people that pay too few taxes. I think the tax system could be amended to help solve this issue, since the middle class pays too much income tax. Focusing on education in lower-income areas could help as well.",1,1,0
229,59,1,0,"I don't believe that economic inequality is a problem in the US. Everyone is given an ooportunity in life to attain a high economic status and if the government should do anything about it, it should be to develop a better education system that doesn't place everyone into the same pool when they are young and should help children figure out a life path at a young age. Whether it be trade schools or secondary education and higher, children should be allowed to explore what they want to do rather than be put into common core classes all the same.",0,0,0
233,60,1,0,"Yes, it is a proplem. the government should pursue policies.",1,1,0
236,61,1,1,"Yes, I think the economic inequality in this country is a problem. The wealthiest 1% has too much control and is making too much of the money in our economy. I don't know enough about the current policies in our country to say that they should pursue more to reduce the economic inequality, but it seems rational. It does not seem right that we have such a small amount of people in the wealthiest category and a huge amount of people in the ""poverty"" and ""poor"" income levels. I think that there could be higher taxes implemented on the people with the highest income to distribute more wealth.",1,1,1
240,62,1,1,i dont think its a big problem. shouldnt pursue policies,0,0,0
243,63,1,0,"I do believe economic inequality is a current issue in the United States. There is a large gap between the rich and the poor and the government should pursue policies to reduce the inequality. We are stuck in a cycle of making the rich richer while providing no platform for the poor to succeed. I do not know enough about the policies to speak on or support them, but something should be enacted.",1,1,0
247,64,1,0,"I do believe economic inequality is a problem in the U.S. I also think that the government can do some things to alleviate poverty and close that gap. I seek ways to close the gap by supporting the ""bottom"" as opposed to cutting down the ""top"", in some ways. Firstly, that means creating better environments for the future. Poverty is in a lot ways, cyclical in that people who are raised in poverty stay in poverty. If we support local governments more as to provide better education, lower crime rates, and create a stronger local economy, then we will see the economic inequality gap begin to close.",1,1,0
251,65,1,0,"I think that economic inequality is a huge problem in the United States. I do believe that the goverment has some responsibility to reduce teh wealth gap in America. I think the gap needs to be addressed in the education advatages offered to higher classes, how much the rich are taxed, and in the housing crisis. For example, with the recent varsity blues investagation, a clear system of rich people being given more advantages in pursusing higher education which can lead to higher paying jobs was exposed. The government should take more action in ensuring that every student is afforded a good education for free. The tax system also needs to ensure that rich people are taxed the same or more than people who struggle with their income.",1,1,1
255,66,1,0,I think that a solid tax rate should be made for everybody regardless of 'class' in the US. No fluctuation of any kind should be made on this tax rate. I don't think that the US should pursue any policies to reduce economic inequality otherwise because I think anything implemented will eventually become abused by a class resulting in their favor and another imbalance.,1,0,1
258,67,1,1,"Yes I think that economic inequality is a problem in the United States. In fact, I took a class on it; I know it's a problem. I think that the Government should try to do something. I think that it is hard to find policies to implement, because no matter what, people will be pissed off. Maybe it is best to leave it how it is, and how it has always been. I don't know, I am not good at making these types of decisions, which is why I'm not trying to be a politicial leader.",1,1,0
262,68,1,1,"In my opnion, there is an extremely large wap gap between the rich and the poor. There are far too many people at the polar ends, either people with too much money or too little money. I don't necessarily think minimum wage should be raised, but there should be a policy, that can redistribute a leader or CEO's money to the people that work for them. I, personally, don't know too much on the topic.",1,1,0
265,69,1,0,"I do think that economic inequality is a problem in the United States and that the government should have a bigger role in closing the gap between classes. I think that there should be higher wages for the lower classes and blue-collar jobs so that a truer trickle-down economy is established. This way, the majority of the wealth in the United States is not held by the top 1% of the population and impoverished comunities can be cut down.",1,1,0
268,70,1,1,"Yes, I think it's a problem in the US because that gives people the advantage to think that they are better than others when there's not equality. Yes, I do believe that the US should reduce economic inequality.",1,1,0
270,71,1,1,"I do believe that economic inequlaity is a problem in the United States. The government needs to persue policies that reduce this inequality, for instance by increasing the minimum wage which is often not a comfortable living wage. I believe that the economic inequality needs to be handled because it leads to the emergence of many other social inequalities.",1,1,0
273,72,1,0,"Not as much as people make it out to be. People work hard they get good money. Our country has an issue with too many ""Free handouts"" and bringing in too many people from other countries while we have tons of homeless and homeless war veterans. Im not sure what our counry could put up for a new policy. This has been an on going debate for years.",0,0,0
277,73,1,0,"economic inequality is a problem in the united states, the government should pursue policies to reduce economic inqueality.",1,1,0
280,74,1,1,"Yes, I think that economic inequality is a problem in the United States because of availability of resources, and I think that the government should pursue policies to reduce economic inequality in this country. I have no idea what policies I would like to see implemented in the United States regarding economic inequality.",1,0,0
284,75,1,1,"I would say that when agreeing with the concept of the rich getting wealthier and the poor becoming more impoverished over time, that perhaps there should be policies in place to help shorten the gap by taxing people differently, but then having a system to where said taxes, mostly from the rich, would go back into projects to help the lower class individuals. This wouldnt prevent the rich from maintaining their wealth, but would allow for more poelpe to enter the middle class.",1,1,0
286,76,1,1,"Yes it is a problem because many people wander homeless in the streets. There should be government interventions regarding that. For example, the high income jobs can be given to average people. Not only high-end rich people. I support the idea of economic equality because it will lessen crimes, and make people live a better life.",1,1,1
289,77,1,0,Make a law that everyone have different economic based on their position and incomes from company or any other places,NA,0,0
293,78,1,0,"I think that the government should make sure that people in lower economic classes are getting well educated on how to be responsible with money so that people can get out of the cycle of poverty. I think people are capable of closing the gap between the rich and the poor but they get in their own way by making poor decisions often times, whether or not they know they are making poor decisions. By just giving things to people I don't think that the gap will close; some people will always be irresponsible and lose what they have but I believe if we as a nation can make sure everybody is amply educated and equipped with the knowledge they need to put themselves and their current or future family in a better situation than what they came from, we will be better off as a country.",0,0,0
297,79,1,0,"No and no. A lot people's issues with economic ineqaulity stems from their dislike for the rich instead of actually wanting to help the poor. This is the wriong reason in my opinion. Additionally, rich people and poor people are both getting more wealthy, it's just the rich people are doing it at a faster rate",0,0,1
299,80,1,0,"Yes It is a problem in USA. No, inequality exists everywhere, there is no way to reduce  inequality. What government should do is to help the poor, such as provideing them fincial help.",1,1,0
302,81,1,1,"no, sicne I think that this's a norma phenomenon that doen't need to regulate.",0,0,0
306,82,1,1,"I feel that further funding for health care and education is crucial in successfully developing society for a promising future. I believe that there are many parts of the U.S. where the education system is not very developed and because of this, there is poverty and a large income gap within society. Individuals must educate themselves in order to become successful and to attain an adequate level of income and wealth.",1,0,0
310,83,1,1,I believe that in some cases it is a problem. I believe that there should be certain polocies that could help reduce that problem. I think that the amount of taxes you pay should very depending on income.,1,1,0
314,84,1,1,"I believe that the economic inequality is a problem in America and I believe that the government should intervene in some way to help battle this inequality. I believe a different tax code should be implemented, where the % of taxes owed should increase with your income, making the rich pay more while the lower classes pay a smaller percentage of their income for taxes. I don't think it is right to stop people from becoming rich, especially if these people work hard to make their living, but I believe that those paid millions of dollars each year should have to pay more and help support those less fortunate in more ways than donations.",1,1,0
318,85,1,1,"I do think that economic inequality is a problem in the United States.  However, I think that the main problem that is expressed is how large the gap is between the middle class individuals and the wealthiest people in the world who all have a certain top percent number of the world's wealth (I can't remember the actual percentage).  I don't know of any policies that could be implemented due to me seeing the problem in wealthy individuals.  I don't think it would be fair to take that wealth from them if they worked hard to own it, however for individuals like sports players, actresses, or actors, that wealth could be cut down a little bit in order to have more money to help the lower class individuals of society.",1,0,0
320,86,1,1,"The diffrenece in economic equality is not necessarily a porblem, it may be a symptome, but the problem is taht there are too many people living in poverty. The dollar has inflated more than the hourly wage has gone up.",1,0,0
323,87,1,0,"I do not think that there is an economic inequality within the United States. I dont think that the US should pursue these policies  anymore than the immigration policies that are being looked at. The whole wage gap thing between men and women is a false statement. There are many women who have the same jobs as men and are getting paid the same. the difference in this though is that men are more likely to take overtime and more likely to take up more dangerous jobs, both of which would cause them to have higher pay than women. So, if women want to get paid more, then they should try these things out for themselves. Also if these things were talking about minimum wage, I think that it should get raised. The only problem with that is that the money for it would be taken out of taxes which means taht people will have to pay more, but in the end, I think it would be for the better.",0,0,1
327,88,1,0,I would say that it is but by pursuing these inequalities we would make the country a socialist country which would end up being worse off than it is now. There is no possible way to make everyone well off and to give everyone the same amount of resources and that would make us a communist nation and we dont want that.,0,0,1
331,89,1,0,Economic inequality is a problem in the United States. I think we should pursue policies to reduce this ineqaulity due to more and more people falling under the poverty line. I would like to see things such as healthcare being more accessible to people in this country instead of people solely relying on Medicaid because they cannot afford a commercial insurance. I would also like to see jobs being more open to on sight training for people who have never had experience before. This is so it gives more people a chance to prove that they are more than what is on paper. Finally I would like to see heavy taxing shift to the upperclass instead of the middle class. The upperclass can afford it.,1,1,0
334,90,1,1,"I do not think that economic inequality is a pressing issue in the United States, but can agree that in some cases it can be a big problem. I think that the foundation that this nation was built on during the 1700's does a great job of predicting the liberites of the citizens of this nation, along with the aditional amendments made to the consitution through out our nations history. I believe the most prominent issue with economic inequality is to do with unequal pay for people doing the same job due to discrimination against gender, age, race, or religion. I believe that the gap of income between the rich and poor in our nation as a whole is not an issue. The United States is a country that was created to allow for equal oppourtunity, and not equity. I define equity here as giving all people the same benefits economically no matter what the amount of work they put in. In my opinion, an equity focused economy heavily leans towards a socialist government structure, which was not what this nation was intended to be, that will ultimately collapse like others in the past.",1,0,0
340,91,1,1,"Yes ,economic inequality is a big problem",1,1,0
344,92,1,0,I do think there is an inequality problem in the US. I do think the US government should purse policies to reduce economic inequalities. I would like to see the government tax the higher class more than the lower class percentage wise. I would also like to see minimum wage be a living wage.,1,1,1
116,93,1,1,"Although I do think there is a large gap of economic inequality between the rich and the poor, I do not think that the government should try to fix this through means such as taxing the rich. The rich earned their money and have the same right to it as the poor have to their money.  Instead, giving more opportunities to the poor to be able to get better jobs or help could be a better way of shortening the gap.",0,0,0
124,94,1,1,"There is some economic inequality in the United States but I do not think it is up to the government to pursue radical economic policy to enact change that would close the gap. I think the best way to solve the problem of inequality is through more economic opportunities for parts of the population that are not reaping the benefits of the US economy. Also, a solid foundation of rules and regulations for the stock market and housing market that doesn't ruin the lives of the vulnerable.",1,0,0
130,95,1,1,"The gap is rather large, but I am also a fan of getting what you work for. the government shoufl not be allowed to take a succesful persons money away nor should they be allowed to give that persons tax dollars away to dead beat that won't stay sober long enough to get a job.",0,0,0
133,96,1,0,I feel that this gap is slightly problematic and should be reduced if possible but no eliminated completely. I don't necissarily believe in higher taxes for those on the basis of higher income so I'm not sure on policies. I think this gap is necessary because all citizens cannot be making the exact same and those who work hard for their money deserve to keep it.,0,0,0
147,97,1,0,"Yes economic inequality can become a problem in the U.S since it can dimish some resources to education, welfare, and housing for those in poor, urbanized cities. I think the government should take measures to try and reduce ecnomic inequality because it can create bias towards resources provided for one group of inviduals in society over another. I would like to see more intercity schools with resources for African American children such as lessons on technology, learning how to manage a healthy and substainable diet, and other resources to help assist in mental health struggles that may be occuring among this population of people.",1,1,1
151,98,1,0,"Economic inequality is a problem, but our economy relies on this gap to function.  Capitalism uses the survival of the fittest mindset that makes it hard to intervene.",0,0,0
